team_abbreviation,avg_pts,avg_rest,games
IND,123.29268292682927,2.1341463414634148,82
BOS,120.57317073170732,2.1341463414634148,82
OSC,120.11764705882354,2.764705882352941,34
OKC,120.08536585365853,2.1341463414634148,82
TEX,119.52941176470588,2.8529411764705883,34
MIL,118.97560975609755,2.1219512195121952,82
OKL,118.55882352941177,2.8529411764705883,34
BHM,118.47058823529412,2.7941176470588234,34
ATL,118.32926829268293,2.1341463414634148,82
LAL,118.03658536585365,2.1463414634146343,82
DAL,117.85365853658537,2.1341463414634148,82
GSW,117.76829268292683,2.1463414634146343,82
SLC,117.41176470588235,2.823529411764706,34
CCG,117.3529411764706,2.8529411764705883,34
SXF,117.20588235294117,2.823529411764706,34
SAC,116.5609756097561,2.1341463414634148,82
PHX,116.2439024390244,2.1463414634146343,82
SCW,116.05882352941177,2.823529411764706,34
FWN,115.67647058823529,2.8529411764705883,34
UTA,115.65853658536585,2.1341463414634148,82
LAC,115.6219512195122,2.1341463414634148,82
DEL,115.52941176470588,2.8529411764705883,34
RCR,115.17647058823529,2.823529411764706,34
NOP,115.07317073170732,2.1341463414634148,82
WES,115.05882352941177,2.8529411764705883,34
IWA,114.94117647058823,2.7941176470588234,34
DEN,114.85365853658537,2.1463414634146343,82
MHU,114.6470588235294,2.8529411764705883,34
PHI,114.59756097560975,2.1219512195121952,82
SBL,114.5,2.823529411764706,34
HOU,114.32926829268293,2.1341463414634148,82
AUS,113.82352941176471,2.823529411764706,34
WAS,113.7439024390244,2.1341463414634148,82
STO,113.73529411764706,2.823529411764706,34
RGV,113.6470588235294,2.823529411764706,34
LIN,113.47058823529412,2.8529411764705883,34
MIN,112.97560975609755,2.1341463414634148,82
NYK,112.79268292682927,2.1341463414634148,82
CLE,112.63414634146342,2.1341463414634148,82
TOR,112.35365853658537,2.1341463414634148,82
CHI,112.26829268292683,2.1341463414634148,82
ONT,112.11764705882354,2.764705882352941,34
SAS,112.09756097560975,2.1341463414634148,82
MNE,112.02941176470588,2.8529411764705883,34
MXC,110.70588235294117,2.8529411764705883,34
ORL,110.46341463414635,2.1341463414634148,82
BKN,110.36585365853658,2.1341463414634148,82
MIA,110.14634146341463,2.1341463414634148,82
WCB,110.02941176470588,2.8529411764705883,34
MCC,109.88235294117646,2.823529411764706,34
DET,109.8780487804878,2.1341463414634148,82
RAP,109.26470588235294,2.823529411764706,34
WIS,108.08823529411765,2.8529411764705883,34
CPS,107.82352941176471,2.8529411764705883,34
CHA,106.58536585365853,2.1341463414634148,82
GRG,106.47058823529412,2.7941176470588234,34
POR,106.36585365853658,2.1341463414634148,82
CLC,105.8529411764706,2.7941176470588234,34
MEM,105.8170731707317,2.1341463414634148,82
GBO,104.88235294117646,2.764705882352941,34
GLI,101.97058823529412,2.764705882352941,34
